Concordance,type,lex_asp_b,lex_asp,lex_asp_2,bound_2,bounding,telicity,temp_bound,verb_lemma,File,period
"re Ordnance , Ammunition , Men and Money . FRYER-E3-P1,1,201.68 Our Ambassador replied , The President had no other Design in making this motion , than that of a good Neighbour ; having observed the Miseries each Party endured , and the general obstr",VG,activity,activity,accomplishment,bound,unbound,atelic,bound,making,fryer-e3-p1.txt,EModE
", LANGF-E3-P2,55.113 and at two or three years when you remove it , the mark will be very visible ; LANGF-E3-P2,55.114 and by renewing the marks sometimes , you may continue it as long as you please , LANGF-E3-P2,55.115 and if any Tree be stolen you ",VG,activity,activity,activity,unbound,unbound,atelic,unbound,renewing,langf-e3-p2.txt,EModE
"mpose you a Dish , no bigger than a Saucer , shall come to fifty Shillings . VANBR-E3-H,37.200 Between eating my Dinner , and washing my Mauth , Ladies I spend my time , till I go to the Play ; where , till Nine a-Clack , I entertain my self with loo",VG,accomplishment,accomplishment,accomplishment,bound,bound,telic,bound,washing,vanbr-e3-h.txt,EModE
" where you think it of no concernment to them to know the reason , and would make trial of their readinesse to obey , without asking why or wherefore . HOOLE-E3-P2,235.17 3 . HOOLE-E3-P2,235.18 One main way to bring Scholars to a loving and awfull re",VG,achievement,activity,activity,unbound,unbound,telic,unbound,asking,hoole-e3-p2.txt,EModE
"age into Spaine , the censure of Italie , she sayd , was , that two Kings had therin committed two great errours ; the one in adventuring so precious a pledge to so hazardous an enterprize ; the other in so badly using so brave a guest . RICH-E2-P1,1",VG,activity,activity,accomplishment,bound,unbound,atelic,bound,adventuring,rich-e2-p1.txt,EModE
"s to be had thereupon . CHARLES-1670-E3-P2,36,P.18 3 CHARLES-1670-E3-P2,36,P.19 You shall give no orders upon any Letters for granting money Lands , Releasing or Abating Rents in Ireland , which shall come from us in any other forme or method or wher",VG,activity,activity,activity,unbound,unbound,atelic,neutral,granting,charles-1670-e3-p2.txt,EModE
"aying is , have you brought Martin to confess ? FARQUHAR-E3-P1,16.300 Cher. Pray , Father , $do $n't {TEXT:don't} put me upon getting any thing out of a Man ; FARQUHAR-E3-P1,16.301 $I $'m {TEXT:I'm} but young you know , Father , FARQUHAR-E3-P1,16.302",VG,achievement,activity,activity,unbound,unbound,telic,unbound,getting,farquhar-e3-p1.txt,EModE
s Realme and by reason of the great Scarcity of Corne in Forreigne Parts and the Restraints which are or may be made there of distilling Spiritts from Corne great Demands are and may be made of Spiritts drawne from malted Corne in this Kingdom to sup,VG,activity,activity,activity,unbound,unbound,atelic,neutral,distilling,stat-1690-e3-h.txt,EModE
",24.3 The tyme was very short to have sent any downe by theise carryars , GAWDY-E2-H,24.4 besides the weather was not apt for removing of trees the frost falling out to be so great . GAWDY-E2-H,24.5 My skill is small in making choyse of suche thinges",VG,activity,activity,activity,unbound,unbound,atelic,neutral,removing,gawdy-e2-h.txt,EModE
"l , wherin those Authors did write : For the better vndersta~ding of those Authors , and the better aduantage of pressing and applying their words : BACON-E2-H,1,17V.14 And thereof grew againe , a delight in their manner of Stile and Phrase , and an ",VG,activity,activity,activity,unbound,unbound,atelic,neutral,applying,bacon-e2-h.txt,EModE
"inate or inflexible BACON-E2-P1,1,9V.109 Let him but read the Fable of Ixion , BACON-E2-P1,1,9V.110 and it will hold him from being vaporous or imaginatiue ; BACON-E2-P1,1,9V.111 let him look into the errors of Cato the second , BACON-E2-P1,1,9V.112 ",VG,state,state,state,unbound,unbound,atelic,neutral,being,bacon-e2-p1.txt,EModE
"a dead Fowle or such like , and by often gazing and looking of them in the face with a louing and gentle countenance , and so making them acquainted with the man . MARKHAM-E2-P1,1,89_misnumbered_as_98.25 After your Hawks are manned you shall bring th",VG,accomplishment,accomplishment,accomplishment,bound,bound,telic,bound,making ,markham-e2-p1.txt,EModE
"pondence that Evers , the lord Aston's Jesuit , held with the Jesuits in London ; who had writ much to Evers of the design of killing the king , and desired him to find out men proper for executing it , whether they were gentlemen or not . BURNETCHA-",VG,accomplishment,accomplishment,accomplishment,amb,ambiguous,ambiguous,neutral,killing,burnetcha-e3-p2.txt,EModE
"e to dinner , PEPYS-E3-P1,7,417.149 and spent all the afternoon in putting some things , pictures especially , in order , and pasting my Lady Castlemaynes print on a frame , which I have made handsome and is a fine piece . PEPYS-E3-P1,7,417.150 So to",VG,achievement,activity,activity,unbound,unbound,telic,unbound,pasting,pepys-e3-p1.txt,EModE
"the Entrance into this place are unsizable Heads of Mountain-Rams with their Horns , set up as the Trophies of their Skill in Shooting them ; and as a farther Argument of the cruel slaughter made among their Forefathers , FRYER-E3-P1,2,199.203 for mo",VG,activity,activity,activity,unbound,unbound,atelic,neutral,shooting,fryer-e3-p1.txt,EModE
" April ; which was the day in which Oates swore they held their consult , and that fifty of them had signed the resolution of killing the king , which was to be executed by Grove and Pickering . BURNETCHA-E3-P1,2,169.235 Now in the end of that letter",VG,accomplishment,accomplishment,accomplishment,amb,ambiguous,ambiguous,neutral,killing,burnetcha-e3-p1.txt,EModE
"NBR-E3-P2,69.365 I fancy'd he was to meet his Mistress some where else , VANBR-E3-P2,69.366 so did it to have the pleasure of seeing him fret . VANBR-E3-P2,69.367 Lov. What says Amanda to my staying abroad so late ? VANBR-E3-P2,69.368 Ber. Why $she $",VG,activity,activity,accomplishment,bound,unbound,atelic,bound,seeing,vanbr-e3-p2.txt,EModE
"E3-P2,52.75 I have always found a shoot or branch of the year next foregoing to thrive best ; LANGF-E3-P2,52.76 and though in Graffing old Trees in Hereford-shire , some commend and use Scions of two or three years growth , yet those are seldom found",VG,activity,activity,activity,unbound,unbound,atelic,unbound,graffing,langf-e3-p2.txt,EModE
"425.356 Here was a collection for the Sexton . PEPYS-E3-P1,7,425.357 But it came into my head , why we should be more bold in making the collection while the psalm is singing then in the sermon or prayer . PEPYS-E3-P1,7,425.358 Home , and without any",VG,accomplishment,activity,activity,unbound,unbound,telic,unbound,making,pepys-e3-p1.txt,EModE
"1,182.87 He had no steadiness nor conduct : BURNETCHA-E3-P1,1,182.88 he could keep no secret , nor execute any design without spoiling it . BURNETCHA-E3-P1,1,182.89 He could never fix his thoughts , nor govern his estate , though then the greatest in",VG,accomplishment,activity,accomplishment,unbound,unbound,ambiguous,unbound,spoiling,burnetcha-e3-p1.txt,EModE
" to my Sisters . JOXINDEN-E2-P2,72.17 I will not at this time troble you with many lines nor hinder my more carefull study in writing many lines ; JOXINDEN-E2-P2,72.18 leaving noe way untried , and as the proverb omnem movebo lapidem to the obtaining",VG,activity,activity,activity,unbound,unbound,atelic,unbound,writing,joxinden-e2-p2.txt,EModE
"e brought which the Court heard with patience , but could easily see through the Vanity of it , said , What Arts they have of evading this , I know not ; OATES-E3-P2,4.90.504 for as they have turn'd their Learning into Subtilty , so they have their R",VG,activity,activity,activity,unbound,unbound,atelic,neutral,evading,oates-e3-p2.txt,EModE
"ur years time , reckoning from sowing the Crab-kernel , and the setting the Stem or Cutting , being duly ordered ; As , 1. By setting the Stem in the place you intend the Dwarf-tree shal grow . 2. And setting it in good Earth , LANGF-E3-P2,70.269 for",VG,accomplishment,accomplishment,accomplishment,bound,bound,telic,neutral,setting,langf-e3-p2.txt,EModE
"veil . BEHN-E3-H,159.74 This rais'd him to a storm ; BEHN-E3-H,159.75 and in his madness , they had much ado to save him from laying violent hands on himself . BEHN-E3-H,159.76 Force first prevail'd , and then reason : BEHN-E3-H,159.77 They urg'd all",VG,activity,activity,activity,unbound,unbound,atelic,neutral,laying,behn-e3-h.txt,EModE
"n , JETAYLORMEAS-E3-P2,21.52 but if we can do no more to all , we must shew our readinesse to do more good to all by actually doing more good to all them to whom we can {COM:no_period_in_text} JETAYLORMEAS-E3-P2,21.53 To some we can , JETAYLORMEAS-E3",VG,activity,activity,activity,unbound,unbound,atelic,unbound,doing,jetaylormeas-e3-p2.txt,EModE
"e good : JETAYLORMEAS-E3-P2,31.125 onely this I adde : JETAYLORMEAS-E3-P2,31.126 into the heaps of doing good , I will reckon loving me JETAYLORMEAS-E3-P2,31.127 for it is a pleasure to be beloved ; JETAYLORMEAS-E3-P2,31.128 but when his love signifi",VG,state,state,state,unbound,unbound,atelic,neutral,loving,jetaylormeas-e3-p2.txt,EModE
" the Poynt of the Lord President's Sword next to his Heart , in Token that he had receved his Life at the Queene's Hands , by submitting hymself unto her Mercy . PERROTT-E2-P1,73.174 And soe he tooke a solemn Oath to be and continew a trew Subject un",VG,achievement,achievement,achievement,bound,bound,telic,bound,submitting,perrott-e2-p1.txt,EModE
"-E3-H,1.1,166.12 He said once to my self , he was no atheist , but he could not think God would make a man miserable only for taking a little pleasure out of the way . BURNETCHA-E3-H,1.1,167.13 He disguised his popery to the last : BURNETCHA-E3-H,1.1",VG,achievement,achievement,achievement,bound,bound,telic,bound,taking ,burnetcha-e3-h.txt,EModE
"e least thought of dishonor or unkinds toward you . EOXINDEN-1660-E3-H,322.71 All that I desire is that I might be capable of serveing you in action in a greater measure then I am able to exspres in words . EOXINDEN-1660-E3-H,322.72 All the disasters",VG,activity,activity,accomplishment,bound,unbound,atelic,bound,serving,eoxinden-1660-e3-h.txt,EModE
"farre abroad : for the which cause you shall strengthen , fortifye & defend the foresaid affected parts , that is to say : by inuironing and compassing it round about with some repercussiue Medicamentes , lest the grieued part which by long infirmity",VG,activity,activity,activity,unbound,unbound,atelic,unbound,environing,clowes-e2-h.txt,EModE
"                   Chap. III HOOLE-E3-P1,11.3 How to teach a childe to spell distinctly . HOOLE-E3-P1,11.4 The common way of teaching a childe to spell , is , after he know's the letters in his Alphabet , to initiate him in those few syllables , whic",VG,accomplishment,accomplishment,accomplishment,bound,bound,telic,neutral,teaching,hoole-e3-p1.txt,EModE
" not to obteine by crying or importunity unlesse one has a minde to teach them to be impatient importunate and troublesome by rewarding them when they are soe . LOCKE-E3-H,53.154 40 . LOCKE-E3-H,53.155 I advise you therefore if you intend ever to gov",VG,activity,activity,activity,unbound,unbound,atelic,unbound,rewarding,locke-e3-h.txt,EModE
" make children obedient to their commands to tell them of spirits and Goblins , whereby though sometimes they keepe them from commiteing some litle faults , yet the remedy is much worse then the disease , LOCKE-E3-P2,72.115 and they leave upon their ",VG,activity,activity,activity,unbound,unbound,atelic,neutral,commiting,locke-e3-p2.txt,EModE
"not , and from his royal goodness would not take from any man his wedded wife ; so she believ'd she shou'd be the occasion of making him commit a great sin , if she did not reveal her state and condition ; and tell him , she was another's , and cou'd",VG,achievement,achievement,achievement,bound,bound,telic,neutral,making ,behn-e3-h.txt,EModE
"d pebble stones , which broke their waves , and turned them into foam : WALTON-E3-P1,231.230 and sometimes I beguil'd time by viewing the harmless Lambs , some leaping securely in the cool shade , whilst others sported themselves in the chearful Sun ",VG,activity,activity,accomplishment,bound,unbound,atelic,bound,viewing,walton-e3-p1.txt,EModE
"ou didst complain went unpunished , do never indeed escape Punishment : And also that thou mightst learn that that Licence of doing Evil , which thou prayedst might soon end , is not long ; and that The Enjoyers would be more unhappy if it were longe",VG,activity,activity,activity,unbound,unbound,atelic,neutral,doing,boethpr-e3-h.txt,EModE
"his night I receaved a letter from my husband , whoe is at my brother Lytton's whearby I perceave the favour you intend us of affoording us your company heer on Tuseday next , which I profes seariously I much rejoyce at , JUBARRING-E2-P1,88.19 for ye",VG,activity,activity,accomplishment,bound,unbound,atelic,bound,affording,jubarring-e2-p1.txt,EModE
"get so good a whelpe , as an indifferent Dogge vpon the best Bitch ; MARKHAM-E2-P2,1,99.137 And amongst these obseruations in breeding Grey-hounds ; you shall obserue to haue your Dogges and Bitches of equall and indifferent ages , as about three or ",VG,activity,activity,activity,unbound,unbound,atelic,unbound,breeding,markham-e2-p2.txt,EModE
"that she was extreamly obliged to his Highnes , and would think her self happie in the occasion that should be presented , of meriting the place she had in his good graces . RICH-E2-P1,1.3,175.57 After that , I turned my speech to the ould Ladyes tha",VG,activity,activity,activity,unbound,unbound,atelic,neutral,meriting,rich-e2-p1.txt,EModE
"f the Declensions and Conjugations , as I formerly shewed , & try , who can pusle one another in declining any hard Noun , or Conjugating and Forming any Verb , and give the Rule of the Genders of the one , or Preterperfect tense , or Supin of the ot",VG,achievement,activity,activity,unbound,unbound,telic,unbound,conjugating,hoole-e3-p2.txt,EModE
"rits issued now in order to the Parliament , & a declaration to back the good order of Elections , with greate professions of maintaining the Ch: of England : but without giving any sort of satisfaction to people , who now began to shew their high di",VG,activity,activity,activity,unbound,unbound,atelic,neutral,maintaining,evelyn-e3-p2.txt,EModE
"h made knowne unto me , I take it to be my dutie . BRINSLEY-E2-P1,4.44 We all of us know the danger of hiding our talent , or keeping backe our debt , when the Lord having given us abilitie , doth call upon us to pay it . BRINSLEY-E2-P1,4.45 Spoud. I",VG,activity,activity,activity,unbound,unbound,atelic,neutral,keeping,brinsley-e2-p1.txt,EModE
"Men , may witness for me , that I had no other end in aspiring to the Magistracy , than that one , of doing good to all , and protecting the Vertuous and Just . BOETHPR-E3-P1,17.23 Hence was I look'd upon by evil Men as their common Enemy . BOETHPR-E",VG,activity,activity,activity,unbound,unbound,atelic,neutral,protecting,boethpr-e3-p1.txt,EModE
"to her crying refuge and that more then once or twice either . HOXINDEN-1650-E3-P2,167.19 I see our daughter growes wearie at beeing there allreadie , but knowes not , neither do I , whether she will goe , or doe , nor what will bee the issue of busi",VG,state,state,state,unbound,unbound,atelic,unbound,being,hoxinden-1650-e3-p2.txt,EModE
"ears the standard of true beauty . BEHN-E3-P1,154.109 His hair came down to his shoulders , by the aids of art , which was by pulling it out with a quill , and keeping it comb'd ; of which he took particular care . BEHN-E3-P1,154.110 Nor did the perf",VG,achievement,achievement,achievement,bound,bound,telic,bound,pulling,behn-e3-p1.txt,EModE
"nging of that age as what he cried for when litle was to the inclination of a child . LOCKE-E3-H,51.128 The fault lies not in haveing desires suitable to the apprehensions and appetites of these severall ages but in the not haveing them subject to th",VG,state,state,state,unbound,unbound,atelic,unbound,having,locke-e3-h.txt,EModE
"hurch-time of the news of the times about the peace , and the bad consequences of it if it be not improved to good purpose of fitting ourselfs for another war . PEPYS-E3-P2,8,324.107 He tells me he hears that the discontented Parliament-men are fearf",VG,achievement,achievement,achievement,bound,bound,telic,neutral,fitting,pepys-e3-p2.txt,EModE
"und of the one , or sight of the other , she will presently come in and be most obedient , which may easily be performed , by giuing her rewarde when she doth your pleasure , and making her fast when she disobeieth : MARKHAM-E2-P1,1,89_misnumbered_as",VG,activity,activity,activity,unbound,unbound,atelic,unbound,giving,markham-e2-p1.txt,EModE
"y of , LOCKE-E3-P2,64.5 but these are not {COM:sic} neither to be forbid till he appeares guilty of them , for feare least by forbiding you teach them , LOCKE-E3-P2,65.6 for when he is first found in a lie or an ill naturd trick , the first remedy sh",VG,achievement,achievement,achievement,bound,bound,telic,neutral,forbiding,locke-e3-p2.txt,EModE
" habitation . BOETHEL-E2-P1,37.515 If in this so small a point of title we be hedged in & inclosed , what think we so much of enlarging fame , & name promoting ? BOETHEL-E2-P1,37.516 For what large and magnifick thing hath glory bounde in so straight",VG,activity,activity,activity,unbound,unbound,atelic,neutral,enlarging,boethel-e2-p1.txt,EModE
"23.218 And to have plenty of stocks such as are best for large standards for Orchards , or Fields , there is no better way of raising them than by Kernels ; with which a man can no way be plentifully and easily provided ; but at the time and place of",VG,activity,activity,activity,unbound,unbound,atelic,neutral,raising,langf-e3-p1.txt,EModE
"it go very much against the hair ; which ill conditions of it having made it better known then trusted , would exempt me from making any further description of it , did not my faithful Mercury , my Microscope , bring me other information of it . HOOK",VG,activity,activity,activity,unbound,unbound,atelic,neutral,making ,hooke-e3-h.txt,EModE
"lp or intercurrent juices , such as in all probability fill those Interstitia , without dilacerating , brusing , or otherwise spoiling the texture of it as it seems to be very much by the ways of tanning and dressing now us'd we might discover a much",VG,accomplishment,activity,activity,unbound,unbound,telic,unbound,spoiling,hooke-e3-p2.txt,EModE
"because they knew him not , nor yet the voices of the Prophets which are read euery Sabbath day , they haue fulfilled them in condemning him . AUTHNEW-E2-P2,13,20A.836 28 AUTHNEW-E2-P2,13,20A.837 And though they found no cause of death in him , yet d",VG,achievement,achievement,achievement,bound,bound,telic,neutral,condemning,authnew-e2-p2.txt,EModE
"s of old Trees of those kinds ; LANGF-E3-P1,3.16 but there is much to be said against both courses . LANGF-E3-P1,3.17 Against using those Crab-trees got out of Woods , &c. there lie these Objections . LANGF-E3-P1,3.18 1 . LANGF-E3-P1,3.19 The workmen",VG,activity,activity,activity,unbound,unbound,atelic,neutral,using,langf-e3-p1.txt,EModE
"TCHA-E3-P2,2,181.132 Carstares said somebody had discovered the matter to duke Lauderdale : that he was now upon the point of making his fortune , and that if duke Lauderdale grew to be his enemy , he was undone . BURNETCHA-E3-P2,2,181.133 He confess",VG,accomplishment,activity,activity,unbound,unbound,telic,unbound,making,burnetcha-e3-p2.txt,EModE
"stand what you please , LANGF-E3-P1,13.125 and remove the rest ; LANGF-E3-P1,13.126 In both those you will find directions of inoculating and more fully ordering them in the 4th and fifth Chapters . LANGF-E3-P1,13.127 CHAP. II . LANGF-E3-P1,14.130 OB",VG,activity,activity,activity,unbound,unbound,atelic,neutral,inoculating,langf-e3-p1.txt,EModE
"nto a Condition of wanting nothing ? BOETHPR-E3-P2,97.57 Certainly there is no State doth so much afford Happiness as that of having Plenty and Affluence of all good things , of being out of need of being beholden to another , but having sufficient f",VG,state,state,state,unbound,unbound,atelic,neutral,having,boethpr-e3-p2.txt,EModE
"ight , MONTAGUE-E3-P2,1,175.14 he is such an etternall sitter up att nights . MONTAGUE-E3-P2,1,175.15 I am just now come from takeing y=e= oathes and subscribing y=e= Test in y=e= Court of Chanserie , as all the Queen's servants are to doe . MONTAGUE",VG,activity,activity,accomplishment,bound,unbound,atelic,bound,taking,montague-e3-p2.txt,EModE
"r them both at once , as va , ve , vi , vo , vu , da , de , di , do , du . HOOLE-E3-H,5.32 3 . HOOLE-E3-H,5.33 and again , by putting the vowels before a consonant to make him say , as , es , is , os , us , ad , ed , id , od , ud . HOOLE-E3-H,5.34 Th",VG,accomplishment,accomplishment,accomplishment,bound,bound,telic,neutral,putting,hoole-e3-h.txt,EModE
" be receiv'd in a fit Recipient , which will yet further countenance this Hypothesis : HOOKE-E3-P1,102.44 And their manner of charring Wood in great quantity comes much to the same thing , namely , an application of a great heat to the body , and per",VG,activity,activity,activity,unbound,unbound,atelic,neutral,charring,hooke-e3-p1.txt,EModE
"ht have itt , HOXINDEN-1650-E3-P2,178.182 but I will promise thee hee shall not have itt otherwise then uppon the occasion of gaining what wee expect thereby ; HOXINDEN-1650-E3-P2,178.183 otherwise I will see itt in thy possession againe . HOXINDEN-1",VG,achievement,activity,activity,unbound,unbound,telic,unbound,gaining,hoxinden-1650-e3-p2.txt,EModE
"such small Roots , by which means the Tree hath sap conveyed to it accordingly . LANGF-E3-P2,70.267 3 . LANGF-E3-P2,70.268 By using these cuttings for Stocks , you shall get at least four years time , reckoning from sowing the Crab-kernel , and the s",VG,activity,activity,activity,unbound,unbound,atelic,neutral,using,langf-e3-p2.txt,EModE
"that your Majestie having given me the liberty of some freer language than heretofore , I obey the Prince his commaundment in presenting to her his service , not by way of complement any longer , but out of passion and affection , which both her outw",VG,achievement,activity,activity,unbound,unbound,telic,unbound,presenting,rich-e2-p1.txt,EModE
"h of Phe. 1625 . HARLEY-E2-H,2.26 TO MY DEARE HOUSBAND S=R= ROBART HARLEY , KNIGHT . HARLEY-E2-H,2.28 S=r= - I thanke you for sending me word , I may hope to see you at Easter , which time will be much longed for by me . HARLEY-E2-H,2.30 I hope the p",VG,achievement,achievement,achievement,bound,bound,telic,bound,sending,harley-e2-h.txt,EModE
"uch actions and sports as this world afforded , as running , wrestling , pitching the bar , hunting and fishing , chasing and killing tygers of a monstrous size , which this continent affords in abundance ; and wonderful snakes , such as Alexander is",VG,activity,activity,activity,unbound,unbound,atelic,neutral,killing,behn-e3-h.txt,EModE
",73.148 and I assure you , the whole towne cryes shame of it , DELONEY-E2-H,73.149 and it hath bred me no small discredit for looking no better to it . DELONEY-E2-H,73.150 Trust me no more , if I was not checkt in my owne house , about this matter , ",VG,state,state,accomplishment,bound,unbound,atelic,bound,looking,deloney-e2-h.txt,EModE
"y run down it ; LANGF-E3-H,42.156 and with a Knife or little trowel dipt in water smooth over the clay ; LANGF-E3-H,42.157 in doing this be sure not to displace the Scion . LANGF-E3-H,42.158 Thus you may Graff Pears , Plums , Cherries , and Apples , ",VG,accomplishment,activity,activity,unbound,unbound,telic,unbound,doing,langf-e3-h.txt,EModE
"ss character of sundry sorts till he have them pretty well by heart . HOOLE-E3-P1,22.87 Thus having all things which concerne reading English made familar {COM:sic} to him , he may attaine to a perfect habit of it . 1. By reading the single Psalter .",VG,activity,activity,activity,unbound,unbound,atelic,neutral,reading,hoole-e3-p1.txt,EModE
"E3-P2,8,329.216 At noon dined alone with my wife . PEPYS-E3-P2,8,329.217 All the afternoon close at the office , very hard at gathering papers and putting things in order against the Parliament ; PEPYS-E3-P2,8,329.218 and at night home with my wife t",VG,activity,activity,activity,unbound,unbound,atelic,unbound,gathering,pepys-e3-p2.txt,EModE
" VANBR-E3-P2,29.189 Y. Fash. $'T $is {TEXT:'Tis} enough ; VANBR-E3-P2,29.190 I will now shew thee the Excess of my Passion by being very calm : VANBR-E3-P2,29.191 Come , Lory , VANBR-E3-P2,29.192 lay your Loggerhead to mine , VANBR-E3-P2,29.193 and i",VG,state,state,state,unbound,unbound,atelic,unbound,being,vanbr-e3-p2.txt,EModE
"e schoole so young , and with the sport and pleasure which they finde amongst other children there ; and also being kept from feeling the overmuch sweetnesse in play , it shall cause them to love & to delight in the schoole continually , and to goe o",VG,state,state,state,unbound,unbound,atelic,neutral,feeling,brinsley-e2-h.txt,EModE
"e , $we $'ll {TEXT:we'll} go a shorter way to work ; VANBR-E3-P2,71.473 I find whoever this Spark is , he knows nothing of my being privately here ; VANBR-E3-P2,71.474 so if you pretend to receive him civilly , $he $'ll {TEXT:he'll} enter without Sus",VG,state,state,state,unbound,unbound,atelic,unbound,being,vanbr-e3-p2.txt,EModE
"ir in a Bottle , though it be there very much condens'd and consequently presses very strongly to get a passage out , without suffering the least bubble to pass through its substance . HOOKE-E3-H,113.76 For , as to the first , since our Microscope in",VG,state,state,state,unbound,unbound,atelic,unbound,suffering,hooke-e3-h.txt,EModE
"49.156 But imputation of righteousnesse hath covered the sinnes of every soule which beleeveth ; HOOKER-B-E2-P1,49.157 God by pardoning our sinne hath taken it away : so that now although our transgression be multiplied aboue the haires of our head ,",VG,achievement,activity,activity,unbound,unbound,telic,unbound,pardoning,hooker-b-e2-p1.txt,EModE
"ertue which they have forsaken , and see that they should be in some way of cleansing themselves from their filthy Vices , by receiving the Pains and Torments which are due to them , they ought , for the Recompence of regaining the Vertue from which ",VG,accomplishment,activity,activity,unbound,unbound,telic,unbound,receiving,boethpr-e3-h.txt,EModE
"but the diuell hath bewitched your minde , with blindnes and vnbeleefe , to draw you from God , euen to worship himselfe , by seeking help at the hands of deuils . GIFFORD-E2-H,B2R.121 It is a lamentable case to see how the deuill hath bewitched thou",VG,accomplishment,activity,activity,unbound,unbound,telic,unbound,seeking,gifford-e2-h.txt,EModE
"-E3-P2,36,P.18 3 CHARLES-1670-E3-P2,36,P.19 You shall give no orders upon any Letters for granting money Lands , Releasing or Abating Rents in Ireland , which shall come from us in any other forme or method or wherein these Rules shall not be observe",VG,activity,activity,activity,unbound,unbound,atelic,neutral,abating,charles-1670-e3-p2.txt,EModE
"shall curse one another , curse the Lord for condemning them , curse their sinnes for accusing them , curse their parents for begetting them , and curse themselues , because they $can $not {TEXT:cannot} helpe themselues . SMITH-E2-H,E2R.216 As they w",VG,achievement,achievement,achievement,bound,bound,telic,bound,begetting,smith-e2-h.txt,EModE
"d the foundations of virtue in a true notion of a God such as the creed wisely teaches as far as his age is capeable , and by accustoming him to pray to him , the next thing to be taken care of is to keep him exactly to speaking of truth and by all t",VG,accomplishment,accomplishment,accomplishment,bound,bound,telic,bound,accustoming,locke-e3-p2.txt,EModE
".12 Forasmuch as you ar of late departed out of this our realme in a very contemptuous sort , without either our licence , or making us or any of our Counsell priuey therunto , We let you , therfor witt , that our pleas=r= and express will is , that ",VG,achievement,activity,activity,unbound,unbound,telic,unbound,making ,eliz-1580-e2-p1.txt,EModE
"of birds in the air ; of which I shall say no more , but tell you , that what worms soever you fish with , are the better for being well scowred , that is long kept , before they be used ; WALTON-E3-P2,245.140 and in case you have not been so provide",VG,state,state,accomplishment,bound,unbound,atelic,bound,being,walton-e3-p2.txt,EModE
"e= forenoone , we were soe neare y=e= head of Beachy y=t= noe shipp could or did passe by us , but we spake w=th= in hopes of meeting yo=u= . RHADDSR-1650-E3-P1,2.15 Surely the wind blew the harder to deny me y=t= hapynes . RHADDSR-1650-E3-P1,2.16 Go",VG,achievement,achievement,achievement,bound,bound,telic,neutral,meeting,rhaddsr-1650-e3-p1.txt,EModE
"all that can be done to prevent it , is to Graff these very low , or if high , to give the Stock more liberty to thicken , by slitting the Bark of it with a Knife . LANGF-E3-P1,45.300 In this way of Graffing there is another little knack may be added",VG,activity,activity,accomplishment,bound,unbound,atelic,bound,slitting,langf-e3-p1.txt,EModE
"argain did you make with him for shewing you the way ? LISLE-E3-P1,4,111.413 For you would not ask him to go with you without promising him some Reward . LISLE-E3-P1,4,111.414 Dunne . My Lord , I asked him to shew me the way to my Lady Lisle's House ",VG,achievement,activity,activity,unbound,unbound,telic,unbound,promising,lisle-e3-p1.txt,EModE
", is , by boiling it a good while in a strong Lixivium , and then beating it very well ; HOOKE-E3-P2,161.92 and the manner of dressing Leather is sufficiently known . HOOKE-E3-P2,161.93 It were indeed extremely desirable , if such a way could be foun",VG,activity,activity,activity,unbound,unbound,atelic,neutral,dressing,hooke-e3-p2.txt,EModE
"d was ignominiously cast across a horse and carried to Leicter {COM:Leicester} and buried there as a just judgment of God for killing his two nephews and reigning in their stead . FIENNES-E3-P1,164.226 This is a great flatt full of good enclosures ; ",VG,accomplishment,accomplishment,accomplishment,bound,bound,telic,bound,killing,fiennes-e3-p1.txt,EModE
"fore nine ; HOOLE-E3-P1,33.131 and let him come fairly washed , neatly combed , and hansomly clad , HOOLE-E3-P1,33.132 and by commending his cleannesse , and shewing it to his fellowes , make him to take pleasure betimes of himself to go neat and com",VG,activity,activity,activity,unbound,unbound,atelic,unbound,commencing,hoole-e3-p1.txt,EModE
"42 & for this Iland we bore vp a whole day , and a night , COVERTE-E2-H,19.143 and finding it to be barren and vnpeopled , by sending our skiffe on shore , wee passed by it , COVERTE-E2-H,19.144 and the same day wee espied three Ilands more about sun",VG,achievement,achievement,achievement,bound,bound,telic,neutral,sending,coverte-e2-h.txt,EModE
"RNETROC-E3-P2,124.183 and as far as I could recollect , have used his own words : So that I am afraid some may censure me for setting down these things so largely , which Impious Men may make an ill use of , and gather together to encourage and defen",VG,accomplishment,accomplishment,accomplishment,bound,bound,telic,bound,setting,burnetroc-e3-p2.txt,EModE
"it ; RALEIGH-E2-H,I,210.C1.231 but seeing he is compacted of Piety and Justice , and one that will not mislike of any Man for speaking a Truth , I will answer your Question . RALEIGH-E2-H,I,210.C1.232 Sir Walter Raleigh was staid by me at Windsor , u",VG,achievement,achievement,achievement,bound,bound,telic,bound,speaking,raleigh-e2-h.txt,EModE
"t like it . LOCKE-E3-P2,66.34 They must not be hindred from being children and from playing and doeing as children , but from doeing ill . LOCKE-E3-P2,66.35 All other liberty is to be allowd them . LOCKE-E3-P2,66.36 Next , to make them in love with t",VG,activity,activity,activity,unbound,unbound,atelic,neutral,doing,locke-e3-p2.txt,EModE
"poore man or woman enter the little ones in a towne together ; and make an honest poore living of it , or get somwhat towards helping the same . BRINSLEY-E2-P1,20.169 Also the Parents who have any learning , may enter their little ones , playing with",VG,activity,activity,activity,unbound,unbound,atelic,neutral,helping,brinsley-e2-p1.txt,EModE
